TOPPID,Year,Season,SealID,Offset_Direction,Offset_Hour,Offset_Min,Offset_Sec,Cut_Year,Cut_Month,Cut_Day,Cut_Hour,Cut_Min,Cut_Sec,Compress_Hour,Compress_Min,Compress_Sec,Expand,Comments
2011016,2011,PB,T911,1,7,58,50,,,,,,,0,2,30,0,
2011019,2011,PB,T35,1,7,59,2,,,,,,,0,0,28,0,
2011020,2011,PB,1015,1,7,59,8,,,,,,,0,4,13,0,
2011032,2011,PM,T730,1,7,0,8,2011,10,13,17,52,35,0,7,44,0,
2011033,2011,PM,WX444,1,7,0,0,2011,10,31,10,44,35,0,0,0,0,"bad Mk9 record, offset converts to UTC"
2011034,2011,PM,2036,1,7,1,6,2011,10,23,9,6,15,0,0,21,0,
2011043,2011,PM,T35,1,15,40,40,2011,7,5,7,49,15,0,0,26,0,corrected surface interval on one dive
2012005,2012,PB,R382,1,8,0,52,,,,,,,0,1,45,0,seal went to OR
2012006,2012,PB,U954,-1,663,59,34,,,,,,,0,3,27,0,
2012009,2012,PB,U605,1,8,2,19,,,,,,,0,3,28,0,
2012010,2012,PB,2024,1,7,59,48,2012,3,30,0,52,35,0,2,29,0,
2012012,2012,PB,U627,1,8,0,28,,,,,,,0,2,44,0,
2012037,2012,PM,U754,1,101,41,15,2012,10,14,19,35,35,0,6,25,0,
2012038,2012,PM,U203,1,101,41,22,2012,10,7,8,37,45,0,4,20,0,
2012039,2012,PM,X106,1,101,41,25,2012,10,27,10,21,45,0,6,40,0,Mk9 record ends early
2012041,2012,PM,U458,1,101,41,45,2012,10,20,11,46,15,0,5,3,0,
