FieldID,TOPPID,PTTID,AnimalID,DepartDate,DepartDateMethod,EndTripDate,EndTripDateMethod,ArriveDate,ArriveDateMethod,DepartLat,DepartLon,ArriveLat,ArriveLon,DepartLoc,ArriveLoc,Season,BirthYear,AgeClass,Sex,Manipulation,ManipulationType,Comments,
R881,2004001,37594,NESE0001ANNU,02/23/2004 09:45:00,TDR,05/07/2004 23:00:00,TDR,05/07/2004 23:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,,,
R 57,2004002,28598,NESE0002ANNU,,,,,,,,,,,ANNU,,,1999,Adult,F,N,,NO USABLE DATA,
W1095,2004003,28600,NESE0003ANNU,02/19/2004 00:00:00,PTT,05/13/2004 00:00:00,PTT,05/13/2004 00:00:00,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
99AB,2004004,14750,NESE0004ANNU,02/22/2004 04:20:00,TDR,06/03/2004 05:00:00,TDR,06/03/2004 05:00:00,TDR,37.116396,-122.330756,34.018,-120.329,ANNU,SMIS,PB,NaN,Adult,F,N,,,
O176,2004005,29733,NESE0005ANNU,02/23/2004 01:45:00,TDR,05/13/2004 18:45:00,TDR,05/13/2004 18:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
R440,2004006,14755,NESE0006ANNU,02/26/2004 05:45:00,TDR,05/18/2004 00:15:00,TDR,05/18/2004 00:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,,,
R445,2004007,13362,NESE0007ANNU,02/26/2004 08:40:00,TDR,05/15/2004 07:29:00,TDR,05/15/2004 07:29:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,NaN,Adult,F,N,,,
L541,2004015,29733,NESE0078ANNU,05/22/2004 16:15:00,TDR,11/06/2004 13:00:00,TDR,11/06/2004 13:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,,
M857,2004016,23103,NESE0079ANNU,05/21/2004 01:30:00,PTT,12/13/2004 14:30:00,PTT,,,37.116396,-122.330756,,,ANNU,,PM,1996,Adult,F,N,,not recovered,
R589,2004017,37598,NESE0103ANNU,06/06/2004 07:00:00,TDR,01/20/2005 20:00:00,TDR,01/20/2005 20:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
R797,2004018,28600,NESE0104ANNU,05/29/2004 00:45:00,TDR,01/17/2005 03:15:00,TDR,01/17/2005 03:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
R131,2004019,13364,NESE0105ANNU,06/08/2004 00:00:00,PTT,10/20/2004 23:00:00,PTT,,,37.116396,-122.330756,,,ANNU,,PM,1999,Adult,F,N,,not recovered,
O448,2004020,37593,NESE0106ANNU,05/27/2004 12:30:00,TDR,01/10/2005 01:15:00,TDR,01/10/2005 01:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
M141,2004021,39455,NESE0107ANNU,05/29/2004 20:15:00,TDR,01/10/2005 22:45:00,TDR,01/10/2005 22:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
L563,2004022,37597,NESE0108ANNU,05/29/2004 19:30:00,TDR,01/11/2005 01:45:00,TDR,01/11/2005 01:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,looks like 2 PTTs transmitting simultaneously during last part of track,
O401,2004023,37591,NESE0109ANNU,06/01/2004 02:30:00,TDR,01/08/2005 17:00:00,TDR,01/08/2005 17:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
O968,2004024,37592,NESE0110ANNU,05/27/2004 20:15:00,TDR,01/16/2005 20:00:00,TDR,01/16/2005 20:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,,,
R736,2004025,39454,NESE0111ANNU,06/09/2004 12:30:00,TDR,01/18/2005 18:15:00,TDR,01/18/2005 18:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
R426,2004026,14755,NESE0112ANNU,06/13/2004 03:30:00,TDR,01/15/2005 16:15:00,TDR,01/15/2005 16:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,,,
R196,2004027,44637,NESE0113ANNU,06/10/2004 23:45:00,TDR,01/19/2005 20:45:00,TDR,01/19/2005 20:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,,big missing section,
N525,2004028,44635,NESE0114ANNU,06/10/2004 02:15:00,TDR,01/14/2005 00:45:00,TDR,01/14/2005 00:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
1595,2004029,44633,NESE0115ANNU,06/18/2004 18:30:00,TDR,01/31/2005 05:00:00,TDR,01/31/2005 05:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,,,
N354,2004030,44639,NESE0116ANNU,06/19/2004 18:30:00,TDR,01/27/2005 17:15:00,TDR,01/27/2005 17:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
R615,2004031,13363,NESE0094ANNU,06/15/2004 21:45:00,TDR,02/08/2005 08:15:00,TDR,02/08/2005 08:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
N513,2004032,44632,NESE0095ANNU,06/10/2004 18:15:00,TDR,01/23/2005 11:45:00,TDR,01/23/2005 11:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1996,Adult,F,N,,,
O284,2004033,14749,NESE0096ANNU,06/10/2004 18:15:00,TDR,01/24/2005 12:45:00,TDR,01/24/2005 12:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
S152,2004034,13365,NESE0097ANNU,06/13/2004 01:00:00,TDR,01/31/2005 09:15:00,TDR,01/31/2005 09:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
L274,2004035,39453,NESE0098ANNU,06/18/2004 14:30:00,TDR,01/29/2005 07:00:00,TDR,01/29/2005 07:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,,
L752,2004036,14759,NESE0099ANNU,06/08/2004 08:15:00,TDR,01/19/2005 04:47:00,TDR,01/19/2005 04:47:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,starts late ends early,
R803,2004037,39457,NESE0100ANNU,06/21/2004 08:15:00,TDR,02/05/2005 16:30:00,TDR,02/05/2005 16:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
2922,2004038,44640,NESE0101ANNU,07/08/2004 10:45:00,TDR,02/18/2005 13:45:00,TDR,02/18/2005 13:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
2924,2004039,37590,NESE0102ANNU,07/03/2004 02:30:00,TDR,02/01/2005 07:00:00,TDR,02/01/2005 07:00:00,TDR,37.116396,-122.330756,35.667047,-121.278566,ANNU,PIBL,PM,NaN,Adult,F,N,,,
O968,2005001,37592,NESE0117ANNU,02/15/2005 08:00:00,TDR,04/24/2005 22:30:00,TDR,04/24/2005 22:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,,,
R792,2005002,56475,NESE0118ANNU,02/14/2005 12:00:00,PTT,04/13/2005 22:00:00,PTT,,,37.116396,-122.330756,,,ANNU,,PB,2000,Adult,F,N,,not recovered,
M807,2005003,24178,NESE0119ANNU,02/20/2005 03:30:00,TDR,05/11/2005 22:30:00,TDR,05/11/2005 22:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,,,
N796,2005004,23104,NESE0120ANNU,02/14/2005 10:45:00,TDR,05/10/2005 07:00:00,TDR,05/10/2005 07:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
