Animal_ID,Deployment_ID,Tags_SatTag_Manufacturer,Tags_SatTag_Model,Tags_SatTag_ID,Tags_PTT,Data_Track_QCFlag,Tags_SatTag_Comments,Tags_TDR1_Manufacturer,Tags_TDR1_Model,Tags_TDR1_ID,Tags_TDR1_Loc,Data_TDR1_QCFlag,Tags_TDR1_Comments,Tags_TDR2_Manufacturer,Tags_TDR2_Model,Tags_TDR2_ID,Tags_TDR2_Loc,Data_TDR2_QCFlag,Tags_TDR2_Comments,Tags_TDR3_Manufacturer,Tags_TDR3_Model,Tags_TDR3_ID,Tags_TDR3_Loc,Data_TDR3_QCFlag,Tags_TDR3_Comments,Data_TDR1_DepthResolution_m,Data_TDR1_SamplingFrequency_Hz,Data_TDR2_DepthResolution_m,Data_TDR2_SamplingFrequency_Hz,Data_TDR3_DepthResolution_m,Data_TDR3_SamplingFrequency_Hz,Deployment_Departure_Datetime,Deployment_Arrival_Datetime,Deployment_Departure_Lat,Deployment_Departure_Lon,Deployment_Arrival_Lat,Deployment_Arrival_Lon,Deployment_Departure_Loc,Deployment_Arrival_Loc,Deployment_Trip,Animal_BirthYear,Animal_AgeClass,Animal_Sex,Deployment_Manipulation,Deployment_ManipulationType,Animal_HadPup,Deployment_Year
R881,2004001,SMRU,NA,NA,37594,1,NA,Wildlife Computers,Mk9,390832,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/23/2004 9:45,5/7/2004 23:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,NA,N/A,2004
R57,2004002,NA,NA,NA,28598,5,No useable data,Wildlife Computers,Mk9,390803,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,NaN,NaN,ANNU,NA,NA,1999,Adult,F,N,NA,N/A,NaN
W1095,2004003,NA,NA,NA,28600,2,NA,Wildlife Computers,Mk9,390678,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,2/19/2004 0:00,5/13/2004 0:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2004
99AB,2004004,NA,NA,NA,525061,2,NA,Wildlife Computers,Mk9,390795,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,1,4,NaN,NaN,NaN,NaN,2/22/2004 4:20,6/3/2004 5:00,37.116396,-122.330756,34.018,-120.329,ANNU,SMIS,PB,NaN,Adult,F,N,NA,N/A,2004
O176,2004005,NA,NA,NA,29733,2,NA,Wildlife Computers,Mk9,490019,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,1,4,NaN,NaN,NaN,NaN,2/23/2004 1:45,5/13/2004 18:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2004
R440,2004006,NA,NA,NA,14755,1,NA,Wildlife Computers,Mk9,290114,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/26/2004 5:45,5/18/2004 0:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,NA,N/A,2004
R445,2004007,NA,NA,NA,13362,3,NA,Lotek,NA,2310_B2276,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,2/26/2004 8:40,5/15/2004 7:29,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,NaN,Adult,F,N,NA,N/A,2004
L541,2004015,Telonics,NA,29733,29733,3,NA,Wildlife Computers,Mk9,390832,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/22/2004 16:15,11/6/2004 13:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,N,2004
M857,2004016,Telonics,NA,23103,23103,3,NA,Wildlife Computers,Mk9,490019,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,5/21/2004 1:30,12/13/2004 14:30,37.116396,-122.330756,NaN,NaN,ANNU,NA,PM,1996,Adult,F,N,NA,N/A,2004
R589,2004017,Wildlife Computers,SPOT,NA,37598,3,NA,Wildlife Computers,Mk9,490122,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/6/2004 7:00,1/20/2005 20:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,Y,2004
